Time,Trader,Unit,Max,Earns,Bid/Ask,Offer,Strategy,Period,Round
0.22884,t16,0,200,0,ask,209.0,Trader_AA,1,5
0.22893,t7,0,150,0,bid,177.0,Trader_AA,1,5
0.22912,t18,0,250,0,ask,223.0,Trader_AA,1,5
0.22921,t9,0,100,0,bid,161.0,Trader_AA,1,5
0.22929,t20,0,300,0,ask,239.0,Trader_AA,1,5
0.2294,t5,0,200,0,bid,194.0,Trader_AA,1,5
0.22949,t8,0,125,0,bid,171.0,Trader_AA,1,5
0.22958,t12,0,100,0,ask,203.0,Trader_AA,1,5
0.22981,t13,0,125,0,ask,199.0,Trader_AA,1,5
0.23004,t17,0,225,0,ask,208.0,Trader_AA,1,5
0.2302,t19,0,275,0,ask,224.0,Trader_AA,1,5
0.23029,t4,0,225,0,bid,197.0,Trader_AA,1,5
0.23037,t6,0,175,0,bid,190.0,Trader_AA,1,5
0.23048,t8,0,125,0,bid,173.0,Trader_AA,1,6
0.23065,t17,0,225,0,ask,208.0,Trader_AA,1,6
0.23083,t5,0,200,0,bid,198.0,Trader_AA,1,6
0.23092,t10,0,75,0,bid,157.0,Trader_AA,1,6
0.23103,t16,0,200,0,ask,199.0,Trader_AA,1,6
0.23112,t1,0,300,0,bid,200.0,Trader_AA,1,6,"Contract:(199.0, 't1', 't13', 0.23113)"
0.23131,t19,0,275,0,ask,358.0,Trader_AA,1,6
0.2314,t6,0,175,0,bid,58.0,Trader_AA,1,6
0.23153,t4,0,225,0,bid,114.0,Trader_AA,1,6
0.23162,t21,0,325,0,ask,347.0,Trader_AA,1,6
0.23197,t18,0,250,0,ask,315.0,Trader_AA,1,6
0.23208,t7,0,150,0,bid,126.0,Trader_AA,1,6
0.23224,t20,0,300,0,ask,310.0,Trader_AA,1,6
0.23233,t12,0,100,0,ask,248.0,Trader_AA,1,6
0.23242,t9,0,100,0,bid,117.0,Trader_AA,1,6
0.23252,t18,0,250,0,ask,249.0,Trader_AA,1,7
0.23269,t4,0,225,0,bid,159.0,Trader_AA,1,7
0.23278,t6,0,175,0,bid,164.0,Trader_AA,1,7
0.23296,t8,0,125,0,bid,151.0,Trader_AA,1,7
0.23307,t17,0,225,0,ask,240.0,Trader_AA,1,7
0.23333,t16,0,200,0,ask,227.0,Trader_AA,1,7
0.23342,t7,0,150,0,bid,159.0,Trader_AA,1,7
0.23366,t21,0,325,0,ask,260.0,Trader_AA,1,7
0.23375,t9,0,100,0,bid,143.0,Trader_AA,1,7
0.23384,t12,0,100,0,ask,205.0,Trader_AA,1,7
0.23395,t10,0,75,0,bid,134.0,Trader_AA,1,7
0.23414,t20,0,300,0,ask,237.0,Trader_AA,1,7
0.2344,t5,0,200,0,bid,176.0,Trader_AA,1,7
0.23449,t19,0,275,0,ask,228.0,Trader_AA,1,7
0.2346,t8,0,125,0,bid,159.0,Trader_AA,1,8
0.23505,t20,0,300,0,ask,237.0,Trader_AA,1,8
0.23514,t17,0,225,0,ask,212.0,Trader_AA,1,8
0.23523,t10,0,75,0,bid,142.0,Trader_AA,1,8
0.2354,t6,0,175,0,bid,176.0,Trader_AA,1,8
0.2356,t16,0,200,0,ask,203.0,Trader_AA,1,8
0.23571,t5,0,200,0,bid,184.0,Trader_AA,1,8
0.23588,t21,0,325,0,ask,244.0,Trader_AA,1,8
0.23601,t4,0,225,0,bid,192.0,Trader_AA,1,8
0.23611,t18,0,250,0,ask,219.0,Trader_AA,1,8
0.2362,t12,0,100,0,ask,198.0,Trader_AA,1,8
0.23629,t19,0,275,0,ask,224.0,Trader_AA,1,8
0.23639,t9,0,100,0,bid,161.0,Trader_AA,1,8
0.23648,t7,0,150,0,bid,178.0,Trader_AA,1,8
0.23678,t21,0,325,0,ask,240.0,Trader_AA,1,9
0.23688,t17,0,225,0,ask,207.0,Trader_AA,1,9
0.23703,t4,0,225,0,bid,195.0,Trader_AA,1,9
0.23715,t9,0,100,0,bid,163.0,Trader_AA,1,9
0.23749,t19,0,275,0,ask,224.0,Trader_AA,1,9
0.23761,t16,0,200,0,ask,199.0,Trader_AA,1,9
0.23771,t7,0,150,0,bid,180.0,Trader_AA,1,9
0.23789,t12,0,100,0,ask,196.0,Trader_AA,1,9
